Entry_ID,Entry_Subject,Entry_Domain,Entry_ClientID,Entry_ProjectID,Entry_Created,Entry_Creator,Entry_LastModified,Entry_Modifier,Entry_Note,Entry_Image,Entry_ImageCaption,Finnish_Def,Finnish,Term_Info,Term_Example,Finnish,Term_Info,Term_Example,Russian_Def,Russian,Term_Info,Term_Example,Russian,Term_Info,Term_Example
0,,,,,9/10/2015 4:12:53 PM,Juho,9/10/2015 4:17:26 PM,Juho,,,,,metsäkoneet,CasePermissive;Noun;Prefix,Pienestä kyläpajasta liikkeelle lähtenyt perheyritys on tänä päivänä yksi maailman merkittävimpiä metsäkonevalmistajia ,,,,,лесозаготовительная техника,CasePermissive;HalfPrefix,эта семейная компания стала одним из крупнейших производителей лесозаготовительной техники в мире,,,
1,,,,,9/10/2015 4:22:08 PM,Juho,9/10/2015 4:22:08 PM,Juho,,,,,keskeytymätön/hyvin toimiva huolto esim.,CasePermissive;HalfPrefix,,,,,,бесперебойной,CasePermissive;HalfPrefix,,,,
2,,,,,9/10/2015 4:22:08 PM,Juho,9/10/2015 4:22:08 PM,Juho,,,,,metsätyötekniikka,CasePermissive;HalfPrefix,,,,,,лесозаготовительной техники,CasePermissive;HalfPrefix,,,,
3,,,,,9/10/2015 4:22:08 PM,Juho,9/10/2015 4:22:08 PM,Juho,,,,,metsuri/metsätyöntekijä,CasePermissive;HalfPrefix,,,,,,лесозаготовител,CasePermissive;HalfPrefix,,,,
4,,,,,9/10/2015 4:22:08 PM,Juho,9/10/2015 4:22:08 PM,Juho,,,,,hyödyntäminen/käyttöönotto,CasePermissive;HalfPrefix,,,,,,внедрение,CasePermissive;HalfPrefix,,,,
5,,,,,9/10/2015 4:22:08 PM,Juho,9/10/2015 4:22:08 PM,Juho,,,,,hankinta/hakkuu,CasePermissive;HalfPrefix,,,,,,заготовка,CasePermissive;HalfPrefix,,,,
6,,,,,9/10/2015 4:22:08 PM,Juho,9/10/2015 4:22:08 PM,Juho,,,,,tehokas/hyvätuottoinen/runsastuloksinen,CasePermissive;HalfPrefix,,,,,,высокопроизводительный,CasePermissive;HalfPrefix,,,,
7,,,,,9/10/2015 4:22:08 PM,Juho,9/10/2015 4:22:08 PM,Juho,,,,,-,CasePermissive;HalfPrefix,,,,,,сортиментная лесозаготовка,CasePermissive;HalfPrefix,,,,
8,,,,,9/10/2015 4:22:08 PM,Juho,9/10/2015 5:20:35 PM,Juho,,,,,apteerauksessa käytettävä harvesteripää,CasePermissive;HalfPrefix,,,,,,харвестерная головка для раскряжевки хлыстов процессором.,CasePermissive;HalfPrefix,,,,
9,,,,,9/10/2015 4:22:08 PM,Juho,9/10/2015 5:20:42 PM,Juho,,,,,harvesteripää,CasePermissive;HalfPrefix,,,,,,харвестерные головки,CasePermissive;HalfPrefix,,,,
10,,,,,9/10/2015 4:22:08 PM,Juho,9/10/2015 4:22:08 PM,Juho,,,,,palsta/metsäpalsta/hakkuupalsta/,CasePermissive;HalfPrefix,,,,,,делянке,CasePermissive;HalfPrefix,,,,
11,,,,,9/10/2015 4:22:08 PM,Juho,9/10/2015 4:22:08 PM,Juho,,,,,toimintahäiriö,CasePermissive;HalfPrefix,,,,,,даст сбой,CasePermissive;HalfPrefix,,,,
12,,,,,9/10/2015 4:22:08 PM,Juho,9/10/2015 4:22:08 PM,Juho,,,,,selviö,CasePermissive;HalfPrefix,,,,,,аксиома,CasePermissive;HalfPrefix,,,,
13,,,,,9/10/2015 4:22:08 PM,Juho,9/10/2015 4:22:08 PM,Juho,,,,,tukki(latvuksineen)/puutavaran kuljetus latvuksineen,CasePermissive;HalfPrefix,,,,,,хлыстовый,CasePermissive;HalfPrefix,,,,
14,,,,,9/10/2015 4:22:08 PM,Juho,9/10/2015 4:22:08 PM,Juho,,,,,-,CasePermissive;HalfPrefix,,,,,,хлыстовая лесозаготовка,CasePermissive;HalfPrefix,,,,
15,,,,,9/10/2015 4:22:08 PM,Juho,9/10/2015 4:22:08 PM,Juho,,,,,laji,CasePermissive;HalfPrefix,,,,,,породами деревьев,CasePermissive;HalfPrefix,,,,
16,,,,,9/10/2015 4:22:08 PM,Juho,9/10/2015 4:22:08 PM,Juho,,,,,perin juurin,CasePermissive;HalfPrefix,,,,,,досконально,CasePermissive;HalfPrefix,,,,
17,,,,,9/10/2015 4:22:08 PM,Juho,9/10/2015 4:22:08 PM,Juho,,,,,uutuus,CasePermissive;HalfPrefix,,,,,,новшества,CasePermissive;HalfPrefix,,,,
18,,,,,9/10/2015 4:22:08 PM,Juho,9/10/2015 4:22:08 PM,Juho,,,,,viat/häiriöt/koneviat,CasePermissive;HalfPrefix,,,,,,неполадки,CasePermissive;HalfPrefix,,,,
19,,,,,9/10/2015 4:22:08 PM,Juho,9/10/2015 4:22:08 PM,Juho,,,,,kiireellinen,CasePermissive;HalfPrefix,,,,,,неотложный,CasePermissive;HalfPrefix,,,,
20,,,,,9/10/2015 4:22:08 PM,Juho,9/10/2015 4:22:08 PM,Juho,,,,,-,CasePermissive;HalfPrefix,,,,,,так и на выезде в разных регионах,CasePermissive;HalfPrefix,,,,
21,,,,,9/10/2015 4:22:08 PM,Juho,9/10/2015 4:22:08 PM,Juho,,,,,sijoitus,CasePermissive;HalfPrefix,,,,,,дислокации,CasePermissive;HalfPrefix,,,,
22,,,,,9/10/2015 4:22:08 PM,Juho,9/10/2015 4:22:08 PM,Juho,,,,,kiireellinen/äkkilähtö,CasePermissive;HalfPrefix,,,,,,экстренных,CasePermissive;HalfPrefix,,,,
23,,,,,9/10/2015 4:22:08 PM,Juho,9/10/2015 4:22:08 PM,Juho,,,,,puskuri(?),CasePermissive;HalfPrefix,,,,,,буферный склад,CasePermissive;HalfPrefix,,,,
24,,,,,9/10/2015 4:22:08 PM,Juho,9/10/2015 4:22:08 PM,Juho,,,,,asetus,CasePermissive;HalfPrefix,,,,,,настройках машины. По,CasePermissive;HalfPrefix,,,,
25,,,,,9/10/2015 4:22:08 PM,Juho,9/10/2015 4:22:08 PM,Juho,,,,,täsmällisesti/toimintakuntoisesti,CasePermissive;HalfPrefix,,,,,,исправно,CasePermissive;HalfPrefix,,,,
26,,,,,9/10/2015 4:22:08 PM,Juho,9/10/2015 4:22:08 PM,Juho,,,,,lasku/muutos,CasePermissive;HalfPrefix,,,,,,перепады,CasePermissive;HalfPrefix,,,,
27,,,,,9/10/2015 4:22:08 PM,Juho,9/10/2015 4:22:08 PM,Juho,,,,,riippu/kannatin,CasePermissive;HalfPrefix,,,,,,навесное оборудование.,CasePermissive;HalfPrefix,,,,
